Model,Displ,Cyl,Trans,Drive,Fuel,Sales Area,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2,Brand
NISSAN 370Z,3.7,6,Man-6,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FNSXV03.7GAA,small car,5,18,26,21,5,No,432,NISSAN
NISSAN 370Z Roadster,3.7,6,Man-6,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FNSXV03.7GAA,small car,5,17,24,20,5,No,446,NISSAN
NISSAN Altima,2.5,4,CVT,2WD,Gasoline,CA,S2,California LEV-II SULEV,FNSXV02.585A,midsize car,8,27,38,31,8,Yes,284,NISSAN
NISSAN Armada,5.6,8,Auto-5,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FNSXT05.6G9A,standard SUV,5,12,18,14,2,No,628,NISSAN
NISSAN Frontier,2.5,4,Auto-5,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FNSXT02.5G5A,pickup,5,17,23,19,4,No,460,NISSAN
NISSAN GT-R,3.8,6,AutoMan-6,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FNSXV03.8GBA,small car,5,16,23,19,4,No,472,NISSAN
NISSAN NV200,2,4,CVT,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FNSXT02.0G2A,special purpose,5,24,26,25,6,No,353,NISSAN
NISSAN Pathfinder,3.5,6,CVT,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FNSXT03.5G7A,small SUV,5,19,26,22,5,No,404,NISSAN
NISSAN Pathfinder 4WD Platinum,3.5,6,CVT,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FNSXT03.5G7B,small SUV,5,19,26,21,5,No,422,NISSAN
NISSAN Pathfinder Hybrid,2.5,4,CVT,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FNSXT02.5GFA,standard SUV,5,25,27,26,6,No,342,NISSAN
NISSAN Quest,3.5,6,CVT,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FNSXT03.5G7A,minivan,5,20,27,22,5,No,398,NISSAN
NISSAN Rogue,2.5,4,CVT,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FNSXT02.5G5B,small SUV,5,25,32,28,7,No,323,NISSAN
NISSAN Versa,1.6,4,Auto-4,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FNSXV01.6G4A,small car,5,26,35,30,7,No,302,NISSAN
NISSAN Xterra,4,6,Auto-5,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FNSXT04.0G6A,small SUV,5,15,20,17,4,No,531,NISSAN
PORSCHE 911 Carrera,3.4,6,AMS-7,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FPRXV04.0C91,small car,5,20,28,23,5,No,384,PORSCHE
PORSCHE 911 Carrera 4,3.4,6,AMS-7,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FPRXV04.0C91,small car,5,20,28,23,5,No,387,PORSCHE
PORSCHE 911 Carrera 4 Cabriolet,3.4,6,AMS-7,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FPRXV04.0C91,small car,5,20,27,22,5,No,396,PORSCHE
PORSCHE 911 Carrera 4S,3.8,6,AMS-7,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FPRXV04.0C91,small car,5,19,26,22,5,No,406,PORSCHE
PORSCHE 911 Carrera 4S Cabriolet,3.8,6,AMS-7,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FPRXV04.0C91,small car,5,19,26,21,5,No,417,PORSCHE
PORSCHE 911 Carrera Cabriolet,3.4,6,AMS-7,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FPRXV04.0C91,small car,5,21,28,23,5,No,380,PORSCHE
PORSCHE 911 Carrera S,3.8,6,AMS-7,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FPRXV04.0C91,small car,5,19,27,22,5,No,398,PORSCHE
PORSCHE 911 Carrera S Cabriolet,3.8,6,AMS-7,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FPRXV04.0C91,small car,5,19,27,22,5,No,405,PORSCHE
PORSCHE 911 GT3,3.8,6,AMS-7,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FPRXV04.0C91,small car,5,15,20,17,4,No,529,PORSCHE
PORSCHE 911 Targa 4,3.4,6,AMS-7,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FPRXV04.0C91,small car,5,19,26,22,5,No,407,PORSCHE
PORSCHE 911 Targa 4S,3.8,6,AMS-7,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FPRXV04.0C91,small car,5,18,25,21,5,No,423,PORSCHE
PORSCHE 911 Turbo,3.8,6,AMS-7,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FPRXV04.0C91,small car,5,17,24,20,5,No,448,PORSCHE
PORSCHE 911 Turbo S,3.8,6,AMS-7,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FPRXV04.0C91,small car,5,17,24,20,5,No,448,PORSCHE
PORSCHE Boxster,2.7,6,AMS-7,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FPRXV02.7B81,small car,5,22,32,26,6,No,349,PORSCHE
PORSCHE Boxster GTS,3.4,6,AMS-7,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FPRXV03.4B81,small car,5,22,31,25,6,No,357,PORSCHE
PORSCHE Boxster S,3.4,6,AMS-7,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FPRXV03.4B81,small car,5,21,30,24,6,No,370,PORSCHE
PORSCHE Cayenne S,3.6,6,AutoMan-8,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FPRXT03.6MCS,standard SUV,5,17,24,20,5,No,452,PORSCHE
PORSCHE Cayenne Turbo,4.8,8,AutoMan-8,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FPRXT04.8CTD,standard SUV,5,14,21,17,4,No,537,PORSCHE
PORSCHE Cayman,2.7,6,AMS-7,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FPRXV02.7B81,small car,5,22,32,26,6,No,349,PORSCHE
PORSCHE Cayman GTS,3.4,6,AMS-7,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FPRXV03.4B81,small car,5,22,31,25,6,No,357,PORSCHE
PORSCHE Cayman S,3.4,6,AMS-7,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FPRXV03.4B81,small car,5,21,30,24,6,No,370,PORSCHE
PORSCHE Macan S,3,6,AMS-7,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FPRXT03.6MCS,small SUV,5,17,23,19,4,No,459,PORSCHE
PORSCHE Macan Turbo,3.6,6,AMS-7,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FPRXT03.6MT6,small SUV,5,17,23,19,4,No,467,PORSCHE
PORSCHE Panamera,3.6,6,AMS-7,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FPRXV03.6PV6,large car,5,18,28,22,5,No,411,PORSCHE
PORSCHE Panamera 4,3.6,6,AMS-7,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FPRXV03.6PV6,large car,5,18,27,21,5,No,421,PORSCHE
PORSCHE Panamera 4S,3,6,AMS-7,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FPRXV03.6PV6,large car,5,17,27,21,5,No,429,PORSCHE
PORSCHE Panamera 4S Executive,3,6,AMS-7,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FPRXV03.6PV6,large car,5,17,26,20,5,No,436,PORSCHE
PORSCHE Panamera GTS,4.8,8,AMS-7,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FPRXV04.8PS8,large car,5,16,24,19,4,No,480,PORSCHE
PORSCHE Panamera S,3,6,AMS-7,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FPRXV03.6PV6,large car,5,17,27,21,5,No,429,PORSCHE
PORSCHE Panamera Turbo,4.8,8,AMS-7,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FPRXV04.8PT8,large car,5,15,24,18,4,No,483,PORSCHE
PORSCHE Panamera Turbo Executive,4.8,8,AMS-7,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FPRXV04.8PT8,large car,5,15,24,18,4,No,488,PORSCHE
PORSCHE Panamera Turbo S,4.8,8,AMS-7,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FPRXV04.8PT8,large car,5,15,24,18,4,No,483,PORSCHE
PORSCHE Panamera Turbo S Executive,4.8,8,AMS-7,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FPRXV04.8PT8,large car,5,15,24,18,4,No,488,PORSCHE
RAM 1500,3.6,6,Auto-8,4WD,Gasoline,FC,B4,Federal Tier 2 Bin 4,FCRXT03.65P2,pickup,6,16,23,19,4,No,475,RAM
RAM 1500 HFE,3.6,6,Auto-8,2WD,Gasoline,FC,B4,Federal Tier 2 Bin 4,FCRXT03.65P2,pickup,6,18,25,21,5,No,425,RAM
RAM C/V Tradesman,3.6,6,Auto-6,2WD,Gasoline,FC,B4,Federal Tier 2 Bin 4,FCRXJ03.65P0,minivan,6,18,26,21,5,No,432,RAM
ROLLS-ROYCE Ghost,6.6,12,SemiAuto-8,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FRRGV06.6N74,large car,5,13,21,15,3,No,580,ROLLS-ROYCE
ROLLS-ROYCE Ghost EWB,6.6,12,SemiAuto-8,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FRRGV06.6N74,large car,5,13,21,15,3,No,580,ROLLS-ROYCE
ROLLS-ROYCE Phantom,6.7,12,SemiAuto-8,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FRRGV06.7LE2,large car,5,11,19,14,2,No,638,ROLLS-ROYCE
ROLLS-ROYCE Phantom Coupe,6.7,12,SemiAuto-8,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FRRGV06.7LE2,small car,5,11,19,14,2,No,638,ROLLS-ROYCE
ROLLS-ROYCE Phantom Drophead Coupe,6.7,12,SemiAuto-8,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FRRGV06.7LE2,small car,5,11,19,14,2,No,637,ROLLS-ROYCE
ROLLS-ROYCE Phantom EWB,6.7,12,SemiAuto-8,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FRRGV06.7LE2,large car,5,11,19,14,2,No,637,ROLLS-ROYCE
ROLLS-ROYCE Wraith,6.6,12,SemiAuto-8,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FRRGV06.6N74,midsize car,5,13,21,15,3,No,577,ROLLS-ROYCE
SCION FR-S,2,4,Man-6,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FFJXV02.0AJM,small car,5,22,30,25,6,No,360,SCION
SCION iQ,1.3,4,CVT,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FTYXV01.3BEA,small car,5,36,37,37,9,Yes,238,SCION
SCION tC,2.5,4,Man-6,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FTYXV02.5BEB,small car,5,23,31,26,6,No,339,SCION
SMART ForTwo Coupe,1,3,AutoMan-5,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FMBXV01.0U2A,small car,5,34,38,36,8,Yes,244,SMART
SUBARU BRZ,2,4,Man-6,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FFJXV02.0AJM,small car,5,22,30,25,6,No,360,SUBARU
SUBARU Forester,2,4,SCV-8,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FFJXJ02.0FPT,small SUV,5,23,28,25,6,No,357,SUBARU
SUBARU Impreza,2,4,Man-5,4WD,Gasoline,FA,B4,Federal Tier 2 Bin 4,FFJXJ02.5NKR,small car,6,25,34,28,7,Yes,314,SUBARU
SUBARU Impreza Sport,2,4,Man-5,4WD,Gasoline,FA,B4,Federal Tier 2 Bin 4,FFJXJ02.5NKR,station wagon,6,24,33,28,7,Yes,323,SUBARU
SUBARU Impreza Wagon,2,4,Man-5,4WD,Gasoline,FA,B4,Federal Tier 2 Bin 4,FFJXJ02.5NKR,station wagon,6,25,34,28,7,Yes,314,SUBARU
SUBARU Legacy,2.5,4,SCV-6,4WD,Gasoline,FA,B4,Federal Tier 2 Bin 4,FFJXJ02.5HRV,midsize car,6,26,36,30,7,Yes,298,SUBARU
SUBARU Outback,2.5,4,SCV-6,4WD,Gasoline,FA,B4,Federal Tier 2 Bin 4,FFJXJ02.5HRV,small SUV,6,25,33,28,7,Yes,315,SUBARU
SUBARU WRX,2,4,Man-6,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FFJXJ02.0FPT,small car,5,21,28,24,6,No,371,SUBARU
SUBARU XV Crosstrek,2,4,Man-5,4WD,Gasoline,FA,B4,Federal Tier 2 Bin 4,FFJXJ02.5NKR,small SUV,6,23,31,26,6,No,345,SUBARU
SUBARU XV Crosstrek Hybrid,2,4,SCV-6,4WD,Gasoline,FA,B3,Federal Tier 2 Bin 3,FFJXJ02.0GNS,small SUV,7,30,34,31,8,Yes,282,SUBARU
TOYOTA 4Runner,4,6,SemiAuto-5,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FTYXT04.0BES,standard SUV,5,17,21,18,4,No,478,TOYOTA
TOYOTA Avalon,3.5,6,SemiAuto-6,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FTYXV03.5BEC,midsize car,5,21,31,24,6,No,362,TOYOTA
TOYOTA Avalon Hybrid,2.5,4,SCV-6,2WD,Gasoline,FA,B3,Federal Tier 2 Bin 3,FTYXV02.5CC4,midsize car,7,40,39,40,9,Yes,223,TOYOTA
TOYOTA Camry,2.5,4,SemiAuto-6,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FTYXJ02.5BEL,midsize car,5,25,35,28,7,No,317,TOYOTA
TOYOTA Camry Hybrid LE,2.5,4,CVT,2WD,Gasoline,FA,B3,Federal Tier 2 Bin 3,FTYXV02.5HC3,midsize car,7,43,39,41,9,Yes,215,TOYOTA
TOYOTA Camry Hybrid XLE/SE,2.5,4,CVT,2WD,Gasoline,FA,B3,Federal Tier 2 Bin 3,FTYXV02.5HC3,midsize car,7,40,38,40,9,Yes,224,TOYOTA
TOYOTA Corolla,1.8,4,Auto-4,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FTYXV01.8BEC,midsize car,5,27,36,31,8,Yes,287,TOYOTA
TOYOTA Corolla LE Eco,1.8,4,CVT,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FTYXV01.8MEA,midsize car,5,30,40,34,8,Yes,260,TOYOTA
TOYOTA Highlander,2.7,4,SemiAuto-6,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FTYXT02.7BEN,small SUV,5,20,25,22,5,No,398,TOYOTA
TOYOTA Highlander Hybrid,3.5,6,SCV-6,4WD,Gasoline,FA,B3,Federal Tier 2 Bin 3,FTYXT03.5CCU,standard SUV,7,27,28,28,7,Yes,319,TOYOTA
TOYOTA Highlander Hybrid LE Plus,3.5,6,SCV-6,4WD,Gasoline,FA,B3,Federal Tier 2 Bin 3,FTYXT03.5CCU,standard SUV,7,28,28,28,7,Yes,313,TOYOTA
TOYOTA Land Cruiser,5.7,8,SemiAuto-6,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FTYXT05.7BEY,standard SUV,5,13,18,15,3,No,596,TOYOTA
TOYOTA Prius,1.8,4,CVT,2WD,Gasoline,FA,B3,Federal Tier 2 Bin 3,FTYXV01.8HC3,midsize car,7,51,48,50,10,Yes,178,TOYOTA
TOYOTA Prius c,1.5,4,CVT,2WD,Gasoline,FA,B3,Federal Tier 2 Bin 3,FTYXV01.5CC4,small car,7,53,46,50,10,Yes,178,TOYOTA
TOYOTA Prius v,1.8,4,CVT,2WD,Gasoline,FA,B3,Federal Tier 2 Bin 3,FTYXV01.8CCU,station wagon,7,44,40,42,9,Yes,211,TOYOTA
TOYOTA RAV4,2.5,4,SemiAuto-6,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FTYXJ02.5BEL,small SUV,5,22,29,25,6,No,354,TOYOTA
TOYOTA RAV4 LE/XLE,2.5,4,SemiAuto-6,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FTYXJ02.5BEL,small SUV,5,24,31,26,6,No,335,TOYOTA
TOYOTA RAV4 Limited,2.5,4,SemiAuto-6,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FTYXJ02.5BEL,small SUV,5,22,29,25,6,No,360,TOYOTA
TOYOTA Sequoia,5.7,8,SemiAuto-6,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FTYXT05.7BEY,standard SUV,5,13,17,14,2,No,617,TOYOTA
TOYOTA Sienna,3.5,6,SemiAuto-6,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FTYXT03.5BER,minivan,5,16,23,19,4,No,466,TOYOTA
TOYOTA Tacoma,2.7,4,Auto-4,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FTYXT02.7BER,pickup,5,18,21,19,4,No,460,TOYOTA
TOYOTA Tundra,4.6,8,SemiAuto-6,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FTYXT04.6BEW,pickup,5,14,18,16,3,No,570,TOYOTA
TOYOTA Venza,2.7,4,SemiAuto-6,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FTYXT02.7BEP,small SUV,5,20,26,22,5,No,388,TOYOTA
TOYOTA Yaris,1.5,4,Auto-4,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FTYXV01.5BEB,small car,5,30,36,32,8,Yes,273,TOYOTA
VOLKSWAGEN Beetle,1.8,4,Man-5,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVGAV02.0VBD,small car,5,24,33,27,7,No,326,VOLKSWAGEN
VOLKSWAGEN Beetle Convertible,1.8,4,SemiAuto-6,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVGAV02.0VBD,small car,5,24,32,27,7,No,326,VOLKSWAGEN
VOLKSWAGEN CC,2,4,AMS-6,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVGAJ02.0VUE,small car,5,22,31,25,6,No,349,VOLKSWAGEN
VOLKSWAGEN CC 4Motion,3.6,6,SemiAuto-6,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVGAV03.6VUF,small car,5,17,25,20,5,No,446,VOLKSWAGEN
VOLKSWAGEN Eos,2,4,AMS-6,2WD,Gasoline,FA,B3,Federal Tier 2 Bin 3,FVGAV02.0VSE,small car,7,22,30,25,6,No,354,VOLKSWAGEN
VOLKSWAGEN GTI,2,4,AMS-6,2WD,Gasoline,FA,B2,Federal Tier 2 Bin 2,FVGAV02.0APA,small car,9,25,33,28,7,Yes,319,VOLKSWAGEN
VOLKSWAGEN Golf,2,4,Man-5,2WD,Gasoline,FA,B2,Federal Tier 2 Bin 2,FVGAV02.0APA,small car,9,25,37,30,7,Yes,300,VOLKSWAGEN
VOLKSWAGEN Jetta,1.8,4,Man-5,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVGAV02.0VBD,small car,5,25,37,29,7,No,301,VOLKSWAGEN
VOLKSWAGEN Jetta Hybrid,1.4,4,AMS-7,2WD,Gasoline,FA,B3,Federal Tier 2 Bin 3,FVGAV01.4VPA,small car,7,42,48,45,10,Yes,200,VOLKSWAGEN
VOLKSWAGEN Passat,1.8,4,Man-5,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVGAV02.0VBD,midsize car,5,24,35,28,7,No,314,VOLKSWAGEN
VOLKSWAGEN Tiguan,2,4,SemiAuto-6,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVGAJ02.0VUE,small SUV,5,21,26,23,5,No,392,VOLKSWAGEN
VOLKSWAGEN Tiguan 4Motion,2,4,SemiAuto-6,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVGAJ02.0VUE,small SUV,5,20,26,23,5,No,394,VOLKSWAGEN
VOLKSWAGEN Touareg,3.6,6,SemiAuto-8,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVGAT03.6VUK,standard SUV,5,17,23,19,4,No,462,VOLKSWAGEN
VOLKSWAGEN Touareg Hybrid,3,6,SemiAuto-8,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVGAT03.0VUH,standard SUV,5,20,24,21,5,No,413,VOLKSWAGEN
VOLVO S60,2,4,SemiAuto-8,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVVXV02.0U3T,small car,5,24,35,28,7,No,323,VOLVO
VOLVO S60 PoleStar,3,6,SemiAuto-6,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVVXJ03.0U2T,small car,5,18,27,21,5,No,408,VOLVO
VOLVO S80,2,4,SemiAuto-8,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVVXV02.0U3T,midsize car,5,25,37,29,7,No,306,VOLVO
VOLVO V60,2,4,SemiAuto-8,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVVXV02.0U3T,station wagon,5,25,37,29,7,No,306,VOLVO
VOLVO V60 PoleStar,3,6,SemiAuto-6,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVVXJ03.0U2T,station wagon,5,18,27,21,5,No,408,VOLVO
VOLVO XC 60,2,4,SemiAuto-8,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVVXV02.0U3T,small SUV,5,22,30,25,6,No,356,VOLVO
VOLVO XC 70,2,4,SemiAuto-8,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVVXV02.0U3T,small SUV,5,24,31,27,7,No,333,VOLVO
